crm_account_id,company_name,billing_address,contact_email,phone_num,account_status
CRM-20000,ABC Solutions,"760 Innovation Dr, Singapore 334053",contact@abcsolutions.com,+65 61678443,Active
CRM-20001,Pinnacle Solutions,"433 Industrial Ave, Singapore 198246",contact@pinnaclesolutions.com,+65 99627281,Active
CRM-20002,Pinnacle Group,"460 Innovation Dr, Singapore 106814",contact@pinnaclegroup.com,+65 74793519,Active
CRM-20003,Innovate Solutions,"390 Industrial Ave, Singapore 988662",contact@innovatesolutions.com,+65 66224068,Prospect
CRM-20004,XYZ Enterprises,"128 Tech Park, Singapore 678856",contact@xyzenterprises.com,+65 95985658,Prospect
CRM-20005,Future Holdings,"197 Industrial Ave, Singapore 793384",contact@futureholdings.com,+65 98745446,Active
CRM-20006,Future Corp,"390 Innovation Dr, Singapore 766563",contact@futurecorp.com,+65 66778091,Prospect
CRM-20007,ABC Solutions,"547 Market St, Singapore 584714",contact@abcsolutions.com,+65 71484920,Prospect
CRM-20008,Global Holdings,"235 Industrial Ave, Singapore 430776",contact@globalholdings.com,+65 63753932,Prospect
CRM-20009,Quantum Holdings,"672 Tech Park, Singapore 774079",contact@quantumholdings.com,+65 74269125,Prospect
CRM-20010,Quantum Group,"409 Innovation Dr, Singapore 245051",contact@quantumgroup.com,+65 99160231,Inactive
CRM-20011,Dynamic Group,"395 Tech Park, Singapore 590785",contact@dynamicgroup.com,+65 64263272,Inactive
CRM-20012,Alpha Solutions,"769 Innovation Dr, Singapore 772097",contact@alphasolutions.com,+65 96035468,Prospect
CRM-20013,XYZ Logistics,"781 Market St, Singapore 211579",contact@xyzlogistics.com,+65 93593765,Inactive
CRM-20014,Global Systems,"781 Market St, Singapore 916449",contact@globalsystems.com,+65 85092933,Inactive
CRM-20015,Summit Components,"952 Innovation Dr, Singapore 945964",contact@summitcomponents.com,+65 67507315,Prospect
CRM-20016,Beta Solutions,"836 Industrial Ave, Singapore 658582",contact@betasolutions.com,+65 92614267,Active
CRM-20017,Gamma Logistics,"894 Tech Park, Singapore 665492",contact@gammalogistics.com,+65 95411588,Inactive
CRM-20018,Apex Holdings,"922 Tech Park, Singapore 359947",contact@apexholdings.com,+65 89400398,Active
CRM-20019,Global Networks,"8 Industrial Ave, Singapore 761759",contact@globalnetworks.com,+65 74778538,Active
CRM-20020,Beta Industries,"286 Tech Park, Singapore 665427",contact@betaindustries.com,+65 75972220,Active
CRM-20021,Quantum Enterprises,"804 Tech Park, Singapore 526833",contact@quantumenterprises.com,+65 76307268,Active
CRM-20022,Apex Group,"885 Industrial Ave, Singapore 785197",contact@apexgroup.com,+65 91341494,Inactive
CRM-20023,Dynamic Solutions,"197 Market St, Singapore 570405",contact@dynamicsolutions.com,+65 76687044,Active
CRM-20024,Future Solutions,"828 Industrial Ave, Singapore 783823",contact@futuresolutions.com,+65 89738000,Inactive
CRM-20025,Dynamic Corp,"417 Tech Park, Singapore 324130",contact@dynamiccorp.com,+65 71160949,Prospect
CRM-20026,Dynamic Enterprises,"434 Tech Park, Singapore 299122",contact@dynamicenterprises.com,+65 79142751,Prospect
CRM-20027,Pinnacle Components,"59 Industrial Ave, Singapore 599948",contact@pinnaclecomponents.com,+65 81045662,Inactive
CRM-20028,Alpha Industries,"872 Market St, Singapore 723939",contact@alphaindustries.com,+65 65376189,Active
CRM-20029,Global Networks,"41 Industrial Ave, Singapore 789305",contact@globalnetworks.com,+65 99897505,Inactive
CRM-20030,Global Holdings,"272 Tech Park, Singapore 804318",contact@globalholdings.com,+65 76017943,Inactive
CRM-20031,Beta Components,"637 Industrial Ave, Singapore 663750",contact@betacomponents.com,+65 90755020,Active
CRM-20032,Beta Corp,"292 Market St, Singapore 974244",contact@betacorp.com,+65 84798543,Inactive
CRM-20033,Dynamic Industries,"684 Innovation Dr, Singapore 208618",contact@dynamicindustries.com,+65 60524999,Active
